Library,"Borrower zipcode","Checkouts + renewals"
"Atchison Public Library",0,82
"Atchison Public Library",64079,1
"Atchison Public Library",64484,30
"Atchison Public Library",64506,2
"Atchison Public Library",66002,6001
"Atchison Public Library",66008,32
"Atchison Public Library",66016,38
"Atchison Public Library",66017,5
"Atchison Public Library",66020,20
"Atchison Public Library",66023,20
"Atchison Public Library",66035,8
"Atchison Public Library",66041,115
"Atchison Public Library",66048,6
"Atchison Public Library",66054,1
"Atchison Public Library",66058,3
"Atchison Public Library",66060,14
"Atchison Public Library",66066,16
"Atchison Public Library",66087,12
"Atchison Public Library",66088,2
"Atchison Public Library",66097,23
"Atchison Public Library",66205,13
"Atchison Public Library",66215,8
"Atchison Public Library",66424,5
"Atchison Public Library",66439,27
"Atchison Public Library",66512,3
"Atchison Public Library",66532,5
"Atchison Public Library",-,40
"Baldwin City Public Library",0,82
"Baldwin City Public Library",66006,2999
"Baldwin City Public Library",66021,5
"Baldwin City Public Library",66025,42
"Baldwin City Public Library",66030,28
"Baldwin City Public Library",66044,74
"Baldwin City Public Library",66046,75
"Baldwin City Public Library",66047,51
"Baldwin City Public Library",66049,32
"Baldwin City Public Library",66062,1
"Baldwin City Public Library",66067,65
"Baldwin City Public Library",66076,44
"Baldwin City Public Library",66092,162
"Baldwin City Public Library",66436,16
"Baldwin City Public Library",66524,53
"Baldwin City Public Library",66538,4
"Basehor Community Library",0,343
"Basehor Community Library",-,8
"Basehor Community Library",66007,7411
"Basehor Community Library",66012,626
"Basehor Community Library",66014,18
"Basehor Community Library",66020,8
"Basehor Community Library",66043,198
"Basehor Community Library",66044,69
"Basehor Community Library",66046,91
"Basehor Community Library",66048,582
"Basehor Community Library",66049,1
"Basehor Community Library",66052,29
"Basehor Community Library",66054,63
"Basehor Community Library",66061,3
"Basehor Community Library",66062,2
"Basehor Community Library",66086,1006
"Basehor Community Library",66102,11
"Basehor Community Library",66109,980
"Basehor Community Library",66111,53
"Basehor Community Library",66215,3
"Basehor Community Library",66218,20
"Basehor Community Library",66226,14
"Basehor Community Library",66227,6
"Basehor Community Library",66614,4
"Bern Community Library",66408,158
"Bern Community Library",66534,41
"Bonner Springs City Library",0,454
"Bonner Springs City Library",66007,140
"Bonner Springs City Library",66012,3639
"Bonner Springs City Library",66018,23
"Bonner Springs City Library",66021,3
"Bonner Springs City Library",66030,1
"Bonner Springs City Library",66032,2
"Bonner Springs City Library",66043,95
"Bonner Springs City Library",66048,29
"Bonner Springs City Library",66049,5
"Bonner Springs City Library",66052,94
"Bonner Springs City Library",66053,13
"Bonner Springs City Library",66054,2
"Bonner Springs City Library",66061,8
"Bonner Springs City Library",66062,1
"Bonner Springs City Library",66086,96
"Bonner Springs City Library",66102,11
"Bonner Springs City Library",66106,2
"Bonner Springs City Library",66109,812
"Bonner Springs City Library",66111,555
"Bonner Springs City Library",66112,20
"Bonner Springs City Library",66113,173
"Bonner Springs City Library",66212,2
"Bonner Springs City Library",66213,2
"Bonner Springs City Library",66215,20
"Bonner Springs City Library",66216,34
"Bonner Springs City Library",66218,280
"Bonner Springs City Library",66226,264
"Bonner Springs City Library",66227,27
"Bonner Springs City Library",66401,1
"Bonner Springs City Library",66427,3
"Bonner Springs City Library",66502,2
"Bonner Springs City Library",66508,2
"Bonner Springs City Library",66536,2
"Bonner Springs City Library",66547,3
"Bonner Springs City Library",66604,1
"Bonner Springs City Library",66720,1
"Bonner Springs City Library",66749,1
"Bonner Springs City Library",66801,4
"Bonner Springs City Library",66846,1
"Bonner Springs City Library",66856,1
"Bonner Springs City Library",66901,1
"Bonner Springs City Library",67002,1
"Bonner Springs City Library",67026,1
"Bonner Springs City Library",67045,1
"Bonner Springs City Library",67062,2
"Bonner Springs City Library",67114,1
"Bonner Springs City Library",67154,2
"Bonner Springs City Library",67156,1
"Bonner Springs City Library",67401,1
"Bonner Springs City Library",67410,1
"Bonner Springs City Library",67449,2
"Bonner Springs City Library",67456,1
"Bonner Springs City Library",67558,1
"Bonner Springs City Library",67579,2
"Bonner Springs City Library",67601,16
"Bonner Springs City Library",67654,5
"Bonner Springs City Library",67663,1
"Bonner Springs City Library",67701,3
"Bonner Springs City Library",67735,1
"Bonner Springs City Library",67736,1
"Bonner Springs City Library",67749,2
"Bonner Springs City Library",67756,1
"Bonner Springs City Library",67846,1
"Bonner Springs City Library",67860,4
"Bonner Springs City Library",67951,1
"Bonner Springs City Library",-,15
"Burlingame Community Library",0,3
"Burlingame Community Library",66413,539
"Burlingame Community Library",66414,38
"Burlingame Community Library",66615,6
"Burlingame Community Library",66617,2
"Burlingame Community Library",66833,2
"Carbondale City Library",66409,3
"Carbondale City Library",66413,5
"Carbondale City Library",66414,531
"Carbondale City Library",66451,1
"Carbondale City Library",66523,37
"Carbondale City Library",66524,7
"Carbondale City Library",66537,180
"Carbondale City Library",66543,1
"Carbondale City Library",66546,31
"Carbondale City Library",66605,5
"Carbondale City Library",66611,5
"Carbondale City Library",66615,15
"Carbondale City Library",66619,23
"Carbondale City Library",-,5
"Centralia Community Library",0,4
"Centralia Community Library",66415,334
"Centralia Community Library",66521,5
"Centralia Community Library",66538,3
"Centralia Community Library",66544,9
"Corning City Library",66002,1
"Corning City Library",66415,12
"Corning City Library",66417,32
"Corning City Library",66451,1
"Doniphan County Library - Elwood",0,2
"Doniphan County Library - Elwood",64505,1
"Doniphan County Library - Elwood",66024,56
"Doniphan County Library - Elwood",66035,25
"Doniphan County Library - Elwood",66087,45
"Doniphan County Library - Elwood",66090,65
"Doniphan County Library - Highland",0,5
"Doniphan County Library - Highland",64501,13
"Doniphan County Library - Highland",66017,17
"Doniphan County Library - Highland",66024,3
